file,line,match
artifacts/live-version-A.json,1,"{""error"": ""version.json not found on live site"", ""note"": ""Live site returns index.html, indicating old deployment without build metadata guardrail"", ""live_url"": ""https://ebay-connector-app-0uyvn1o1.devinapps.com""}"
MULTI_ACCOUNT_IMPLEMENTATION.md,568,"    response = await client.post(""https://api.ebay.com/ws/api.dll"", ...)"
MULTI_ACCOUNT_IMPLEMENTATION.md,700,"      ""https://api.ebay.com/oauth/api_scope"","
MULTI_ACCOUNT_IMPLEMENTATION.md,701,"      ""https://api.ebay.com/oauth/api_scope/sell.finances"","
MULTI_ACCOUNT_IMPLEMENTATION.md,702,"      ""https://api.ebay.com/oauth/api_scope/sell.fulfillment"""
MULTI_ACCOUNT_IMPLEMENTATION.md,1021,"curl -X GET ""http://localhost:8000/ebay-accounts/"" \"
MULTI_ACCOUNT_IMPLEMENTATION.md,1027,"curl -X GET ""http://localhost:8000/ebay-accounts/{account_id}"" \"
MULTI_ACCOUNT_IMPLEMENTATION.md,1033,"curl -X PATCH ""http://localhost:8000/ebay-accounts/{account_id}"" \"
MULTI_ACCOUNT_IMPLEMENTATION.md,1041,"curl -X POST ""http://localhost:8000/ebay-accounts/{account_id}/refresh-token"" \"
MULTI_ACCOUNT_IMPLEMENTATION.md,1047,"curl -X POST ""http://localhost:8000/ebay-accounts/{account_id}/health-check"" \"
todo-list.html,617,"            🔗 <a href=""https://ebay-connection-app-k0ge3h93.devinapps.com"" style=""color: #667eea;"">View Live App</a>"
EBAY_SETUP_GUIDE.md,7,1. Go to https://developer.ebay.com/
EBAY_SETUP_GUIDE.md,15,"1. Once logged in, go to https://developer.ebay.com/my/keys"
EBAY_SETUP_GUIDE.md,39,   - **Local Development**: `http://localhost:5173/ebay/callback`
EBAY_SETUP_GUIDE.md,40,   - **Production**: `https://yourdomain.com/ebay/callback`
EBAY_SETUP_GUIDE.md,63,EBAY_REDIRECT_URI=http://localhost:5173/ebay/callback
EBAY_SETUP_GUIDE.md,69,# EBAY_REDIRECT_URI=https://yourdomain.com/ebay/callback
EBAY_SETUP_GUIDE.md,78,- `https://api.ebay.com/oauth/api_scope` - Basic API access
EBAY_SETUP_GUIDE.md,79,- `https://api.ebay.com/oauth/api_scope/sell.account` - Seller account access
EBAY_SETUP_GUIDE.md,83,- `https://api.ebay.com/oauth/api_scope/sell.inventory` - Inventory management
EBAY_SETUP_GUIDE.md,84,- `https://api.ebay.com/oauth/api_scope/sell.fulfillment` - Order fulfillment
EBAY_SETUP_GUIDE.md,85,- `https://api.ebay.com/oauth/api_scope/sell.marketing` - Marketing campaigns
EBAY_SETUP_GUIDE.md,86,- `https://api.ebay.com/oauth/api_scope/commerce.catalog.readonly` - Catalog read access
EBAY_SETUP_GUIDE.md,88,See full list at: https://developer.ebay.com/api-docs/static/oauth-scopes.html
EBAY_SETUP_GUIDE.md,119,- Check for trailing slashes (http://localhost:5173/ebay/callback vs http://localhost:5173/ebay/callback/)
EBAY_SETUP_GUIDE.md,136,- Create test users at https://developer.ebay.com/sandbox
EBAY_SETUP_GUIDE.md,137,- API endpoint: `https://api.sandbox.ebay.com`
EBAY_SETUP_GUIDE.md,143,- API endpoint: `https://api.ebay.com`
EBAY_SETUP_GUIDE.md,155,- eBay Developer Documentation: https://developer.ebay.com/docs
EBAY_SETUP_GUIDE.md,156,- OAuth Guide: https://developer.ebay.com/api-docs/static/oauth-tokens.html
EBAY_SETUP_GUIDE.md,157,- API Reference: https://developer.ebay.com/api-docs/
EBAY_SETUP_GUIDE.md,158,- Developer Forums: https://developer.ebay.com/support/forum
EBAY_SETUP_GUIDE.md,159,- Getting Started Guide: https://developer.ebay.com/api-docs/static/gs_landing.html
backend/alembic.ini,12,# see https://alembic.sqlalchemy.org/en/latest/tutorial.html#editing-the-ini-file
backend/poetry.lock,1513,"description = ""Python client for Sentry (https://sentry.io)"""
backend/app/seed_data.py,74,"            image_url=""https://via.placeholder.com/150"","
backend/app/seed_data.py,91,"            ""primary_image_url"": ""https://via.placeholder.com/300"","
backend/app/seed_data.py,104,"            ""primary_image_url"": ""https://via.placeholder.com/300"","
backend/app/main.py,14,"        ""https://ebay-ui-app-b6oqapk8.devinapps.com"","
backend/app/main.py,15,"        ""https://ebay-connection-app-k0ge3h93.devinapps.com"","
backend/app/main.py,16,"        ""http://localhost:5173"","
backend/app/main.py,17,"        ""http://localhost:3000"","
frontend/CONFIG.md,19,"- `API_PUBLIC_BASE_URL` - The public URL of your backend API (e.g., `https://api.yourdomain.com`)"
frontend/CONFIG.md,28,"In development, Vite proxies `/api/*` requests to the backend at `http://127.0.0.1:8000`:"
frontend/CONFIG.md,31,Frontend (localhost:5173) → /api/auth/login → Vite Proxy → http://127.0.0.1:8000/auth/login
frontend/CONFIG.md,41,Frontend (app.yourdomain.com) → /api/auth/login → Pages Function → https://api.yourdomain.com/auth/login
frontend/CONFIG.md,75,3. Navigate to `http://localhost:5173`
frontend/CONFIG.md,88,4. Verify proxy works: `curl -i https://preview-url.pages.dev/api/healthz`
frontend/vite.config.ts,15,"        target: 'http://127.0.0.1:8000',"
frontend/components.json,2,"  ""$schema"": ""https://ui.shadcn.com/schema.json"","
frontend/README.md,7,- [@vitejs/plugin-react](https://github.com/vitejs/vite-plugin-react/blob/main/packages/plugin-react/README.md) uses [Babel](https://babeljs.io/) for Fast Refresh
frontend/README.md,8,- [@vitejs/plugin-react-swc](https://github.com/vitejs/vite-plugin-react-swc) uses [SWC](https://swc.rs/) for Fast Refresh
frontend/README.md,30,- Install [eslint-plugin-react](https://github.com/jsx-eslint/eslint-plugin-react) and update the config:
frontend/public/vite.svg,1,"<svg xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" aria-hidden=""true"" role=""img"" class=""iconify iconify--logos"" width=""31.88"" height=""32"" preserveAspectRatio=""xMidYMid meet"" viewBox=""0 0 256 257""><defs><linearGradient id=""IconifyId1813088fe1fbc01fb466"" x1=""-.828%"" x2=""57.636%"" y1=""7.652%"" y2=""78.411%""><stop offset=""0%"" stop-color=""#41D1FF""></stop><stop offset=""100%"" stop-color=""#BD34FE""></stop></linearGradient><linearGradient id=""IconifyId1813088fe1fbc01fb467"" x1=""43.376%"" x2=""50.316%"" y1=""2.242%"" y2=""89.03%""><stop offset=""0%"" stop-color=""#FFEA83""></stop><stop offset=""8.333%"" stop-color=""#FFDD35""></stop><stop offset=""100%"" stop-color=""#FFA800""></stop></linearGradient></defs><path fill=""url(#IconifyId1813088fe1fbc01fb466)"" d=""M255.153 37.938L134.897 252.976c-2.483 4.44-8.862 4.466-11.382.048L.875 37.958c-2.746-4.814 1.371-10.646 6.827-9.67l120.385 21.517a6.537 6.537 0 0 0 2.322-.004l117.867-21.483c5.438-.991 9.574 4.796 6.877 9.62Z""></path><path fill=""url(#IconifyId1813088fe1fbc01fb467)"" d=""M185.432.063L96.44 17.501a3.268 3.268 0 0 0-2.634 3.014l-5.474 92.456a3.268 3.268 0 0 0 3.997 3.378l24.777-5.718c2.318-.535 4.413 1.507 3.936 3.838l-7.361 36.047c-.495 2.426 1.782 4.5 4.151 3.78l15.304-4.649c2.372-.72 4.652 1.36 4.15 3.788l-11.698 56.621c-.732 3.542 3.979 5.473 5.943 2.437l1.313-2.028l72.516-144.72c1.215-2.423-.88-5.186-3.54-4.672l-25.505 4.922c-2.396.462-4.435-1.77-3.759-4.114l16.646-57.705c.677-2.35-1.37-4.583-3.769-4.113Z""></path></svg>"
frontend/src/assets/react.svg,1,"<svg xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" aria-hidden=""true"" role=""img"" class=""iconify iconify--logos"" width=""35.93"" height=""32"" preserveAspectRatio=""xMidYMid meet"" viewBox=""0 0 256 228""><path fill=""#00D8FF"" d=""M210.483 73.824a171.49 171.49 0 0 0-8.24-2.597c.465-1.9.893-3.777 1.273-5.621c6.238-30.281 2.16-54.676-11.769-62.708c-13.355-7.7-35.196.329-57.254 19.526a171.23 171.23 0 0 0-6.375 5.848a155.866 155.866 0 0 0-4.241-3.917C100.759 3.829 77.587-4.822 63.673 3.233C50.33 10.957 46.379 33.89 51.995 62.588a170.974 170.974 0 0 0 1.892 8.48c-3.28.932-6.445 1.924-9.474 2.98C17.309 83.498 0 98.307 0 113.668c0 15.865 18.582 31.778 46.812 41.427a145.52 145.52 0 0 0 6.921 2.165a167.467 167.467 0 0 0-2.01 9.138c-5.354 28.2-1.173 50.591 12.134 58.266c13.744 7.926 36.812-.22 59.273-19.855a145.567 145.567 0 0 0 5.342-4.923a168.064 168.064 0 0 0 6.92 6.314c21.758 18.722 43.246 26.282 56.54 18.586c13.731-7.949 18.194-32.003 12.4-61.268a145.016 145.016 0 0 0-1.535-6.842c1.62-.48 3.21-.974 4.76-1.488c29.348-9.723 48.443-25.443 48.443-41.52c0-15.417-17.868-30.326-45.517-39.844Zm-6.365 70.984c-1.4.463-2.836.91-4.3 1.345c-3.24-10.257-7.612-21.163-12.963-32.432c5.106-11 9.31-21.767 12.459-31.957c2.619.758 5.16 1.557 7.61 2.4c23.69 8.156 38.14 20.213 38.14 29.504c0 9.896-15.606 22.743-40.946 31.14Zm-10.514 20.834c2.562 12.94 2.927 24.64 1.23 33.787c-1.524 8.219-4.59 13.698-8.382 15.893c-8.067 4.67-25.32-1.4-43.927-17.412a156.726 156.726 0 0 1-6.437-5.87c7.214-7.889 14.423-17.06 21.459-27.246c12.376-1.098 24.068-2.894 34.671-5.345a134.17 134.17 0 0 1 1.386 6.193ZM87.276 214.515c-7.882 2.783-14.16 2.863-17.955.675c-8.075-4.657-11.432-22.636-6.853-46.752a156.923 156.923 0 0 1 1.869-8.499c10.486 2.32 22.093 3.988 34.498 4.994c7.084 9.967 14.501 19.128 21.976 27.15a134.668 134.668 0 0 1-4.877 4.492c-9.933 8.682-19.886 14.842-28.658 17.94ZM50.35 144.747c-12.483-4.267-22.792-9.812-29.858-15.863c-6.35-5.437-9.555-10.836-9.555-15.216c0-9.322 13.897-21.212 37.076-29.293c2.813-.98 5.757-1.905 8.812-2.773c3.204 10.42 7.406 21.315 12.477 32.332c-5.137 11.18-9.399 22.249-12.634 32.792a134.718 134.718 0 0 1-6.318-1.979Zm12.378-84.26c-4.811-24.587-1.616-43.134 6.425-47.789c8.564-4.958 27.502 2.111 47.463 19.835a144.318 144.318 0 0 1 3.841 3.545c-7.438 7.987-14.787 17.08-21.808 26.988c-12.04 1.116-23.565 2.908-34.161 5.309a160.342 160.342 0 0 1-1.76-7.887Zm110.427 27.268a347.8 347.8 0 0 0-7.785-12.803c8.168 1.033 15.994 2.404 23.343 4.08c-2.206 7.072-4.956 14.465-8.193 22.045a381.151 381.151 0 0 0-7.365-13.322Zm-45.032-43.861c5.044 5.465 10.096 11.566 15.065 18.186a322.04 322.04 0 0 0-30.257-.006c4.974-6.559 10.069-12.652 15.192-18.18ZM82.802 87.83a323.167 323.167 0 0 0-7.227 13.238c-3.184-7.553-5.909-14.98-8.134-22.152c7.304-1.634 15.093-2.97 23.209-3.984a321.524 321.524 0 0 0-7.848 12.897Zm8.081 65.352c-8.385-.936-16.291-2.203-23.593-3.793c2.26-7.3 5.045-14.885 8.298-22.6a321.187 321.187 0 0 0 7.257 13.246c2.594 4.48 5.28 8.868 8.038 13.147Zm37.542 31.03c-5.184-5.592-10.354-11.779-15.403-18.433c4.902.192 9.899.29 14.978.29c5.218 0 10.376-.117 15.453-.343c-4.985 6.774-10.018 12.97-15.028 18.486Zm52.198-57.817c3.422 7.8 6.306 15.345 8.596 22.52c-7.422 1.694-15.436 3.058-23.88 4.071a382.417 382.417 0 0 0 7.859-13.026a347.403 347.403 0 0 0 7.425-13.565Zm-16.898 8.101a358.557 358.557 0 0 1-12.281 19.815a329.4 329.4 0 0 1-23.444.823c-7.967 0-15.716-.248-23.178-.732a310.202 310.202 0 0 1-12.513-19.846h.001a307.41 307.41 0 0 1-10.923-20.627a310.278 310.278 0 0 1 10.89-20.637l-.001.001a307.318 307.318 0 0 1 12.413-19.761c7.613-.576 15.42-.876 23.31-.876H128c7.926 0 15.743.303 23.354.883a329.357 329.357 0 0 1 12.335 19.695a358.489 358.489 0 0 1 11.036 20.54a329.472 329.472 0 0 1-11 20.722Zm22.56-122.124c8.572 4.944 11.906 24.881 6.52 51.026c-.344 1.668-.73 3.367-1.15 5.09c-10.622-2.452-22.155-4.275-34.23-5.408c-7.034-10.017-14.323-19.124-21.64-27.008a160.789 160.789 0 0 1 5.888-5.4c18.9-16.447 36.564-22.941 44.612-18.3ZM128 90.808c12.625 0 22.86 10.235 22.86 22.86s-10.235 22.86-22.86 22.86s-22.86-10.235-22.86-22.86s10.235-22.86 22.86-22.86Z""></path></svg>"
frontend/src/lib/apiClient.ts,9,    return 'https://app-vatxxrtj.fly.dev';
frontend/src/pages/TransactionsPage.tsx,11,  const API_URL = import.meta.env.VITE_API_URL || 'http://localhost:8000';
frontend/src/pages/TodoListPage.tsx,406,"          <p className=""mb-2"">🔗 <a href=""https://ebay-connection-app-k0ge3h93.devinapps.com"" className=""text-purple-600 hover:underline"">View Live App</a></p>"
frontend/src/pages/TodoListPage.tsx,407,"          <p>🤖 Powered by Devin AI | Session: <a href=""https://app.devin.ai/sessions/3ef2b75bb4ad437b8274d8223cc18211"" className=""text-purple-600 hover:underline"">3ef2b75bb4ad437b8274d8223cc18211</a></p>"
frontend/src/pages/InventoryPageV2.tsx,64,  const API_URL = import.meta.env.VITE_API_URL || 'http://localhost:8000';
frontend/src/pages/AdminJobsPage.tsx,24,  const API_URL = import.meta.env.VITE_API_URL || 'http://localhost:8000';
frontend/src/pages/FinancialsPage.tsx,17,  const API_URL = import.meta.env.VITE_API_URL || 'http://localhost:8000';
frontend/src/pages/InventoryPage.tsx,10,  const API_URL = import.meta.env.VITE_API_URL || 'http://localhost:8000';
frontend/src/pages/OffersPageV2.tsx,44,  const API_URL = import.meta.env.VITE_API_URL || 'http://localhost:8000';
frontend/src/pages/BuyingPage.tsx,11,  const API_URL = import.meta.env.VITE_API_URL || 'http://localhost:8000';
frontend/src/pages/InventoryPageV3.tsx,46,  const API_URL = import.meta.env.VITE_API_URL || 'http://localhost:8000';
frontend/package-lock.json,81,"      ""resolved"": ""https://registry.npmjs.org/@alloc/quick-lru/-/quick-lru-5.2.0.tgz"","
frontend/package-lock.json,88,"        ""url"": ""https://github.com/sponsors/sindresorhus"""
frontend/package-lock.json,93,"      ""resolved"": ""https://registry.npmjs.org/@babel/code-frame/-/code-frame-7.27.1.tgz"","
frontend/package-lock.json,108,"      ""resolved"": ""https://registry.npmjs.org/@babel/compat-data/-/compat-data-7.28.4.tgz"","
frontend/package-lock.json,118,"      ""resolved"": ""https://registry.npmjs.org/@babel/core/-/core-7.28.4.tgz"","
frontend/package-lock.json,144,"        ""url"": ""https://opencollective.com/babel"""
frontend/package-lock.json,149,"      ""resolved"": ""https://registry.npmjs.org/@babel/generator/-/generator-7.28.3.tgz"","
frontend/package-lock.json,166,"      ""resolved"": ""https://registry.npmjs.org/@babel/helper-compilation-targets/-/helper-compilation-targets-7.27.2.tgz"","
frontend/package-lock.json,183,"      ""resolved"": ""https://registry.npmjs.org/@babel/helper-globals/-/helper-globals-7.28.0.tgz"","
frontend/package-lock.json,193,"      ""resolved"": ""https://registry.npmjs.org/@babel/helper-module-imports/-/helper-module-imports-7.27.1.tgz"","
frontend/package-lock.json,207,"      ""resolved"": ""https://registry.npmjs.org/@babel/helper-module-transforms/-/helper-module-transforms-7.28.3.tgz"","
frontend/package-lock.json,225,"      ""resolved"": ""https://registry.npmjs.org/@babel/helper-plugin-utils/-/helper-plugin-utils-7.27.1.tgz"","
frontend/package-lock.json,235,"      ""resolved"": ""https://registry.npmjs.org/@babel/helper-string-parser/-/helper-string-parser-7.27.1.tgz"","
frontend/package-lock.json,245,"      ""resolved"": ""https://registry.npmjs.org/@babel/helper-validator-identifier/-/helper-validator-identifier-7.27.1.tgz"","
frontend/package-lock.json,255,"      ""resolved"": ""https://registry.npmjs.org/@babel/helper-validator-option/-/helper-validator-option-7.27.1.tgz"","
frontend/package-lock.json,265,"      ""resolved"": ""https://registry.npmjs.org/@babel/helpers/-/helpers-7.28.4.tgz"","
frontend/package-lock.json,279,"      ""resolved"": ""https://registry.npmjs.org/@babel/parser/-/parser-7.28.4.tgz"","
frontend/package-lock.json,295,"      ""resolved"": ""https://registry.npmjs.org/@babel/plugin-transform-react-jsx-self/-/plugin-transform-react-jsx-self-7.27.1.tgz"","
frontend/package-lock.json,311,"      ""resolved"": ""https://registry.npmjs.org/@babel/plugin-transform-react-jsx-source/-/plugin-transform-react-jsx-source-7.27.1.tgz"","
frontend/package-lock.json,327,"      ""resolved"": ""https://registry.npmjs.org/@babel/runtime/-/runtime-7.28.4.tgz"","
frontend/package-lock.json,336,"      ""resolved"": ""https://registry.npmjs.org/@babel/template/-/template-7.27.2.tgz"","
frontend/package-lock.json,351,"      ""resolved"": ""https://registry.npmjs.org/@babel/traverse/-/traverse-7.28.4.tgz"","
frontend/package-lock.json,370,"      ""resolved"": ""https://registry.npmjs.org/@babel/types/-/types-7.28.4.tgz"","
frontend/package-lock.json,384,"      ""resolved"": ""https://registry.npmjs.org/@date-fns/tz/-/tz-1.4.1.tgz"","
frontend/package-lock.json,390,"      ""resolved"": ""https://registry.npmjs.org/@esbuild/aix-ppc64/-/aix-ppc64-0.25.11.tgz"","
frontend/package-lock.json,407,"      ""resolved"": ""https://registry.npmjs.org/@esbuild/android-arm/-/android-arm-0.25.11.tgz"","
frontend/package-lock.json,424,"      ""resolved"": ""https://registry.npmjs.org/@esbuild/android-arm64/-/android-arm64-0.25.11.tgz"","
frontend/package-lock.json,441,"      ""resolved"": ""https://registry.npmjs.org/@esbuild/android-x64/-/android-x64-0.25.11.tgz"","
frontend/package-lock.json,458,"      ""resolved"": ""https://registry.npmjs.org/@esbuild/darwin-arm64/-/darwin-arm64-0.25.11.tgz"","
frontend/package-lock.json,475,"      ""resolved"": ""https://registry.npmjs.org/@esbuild/darwin-x64/-/darwin-x64-0.25.11.tgz"","
frontend/package-lock.json,492,"      ""resolved"": ""https://registry.npmjs.org/@esbuild/freebsd-arm64/-/freebsd-arm64-0.25.11.tgz"","
frontend/package-lock.json,509,"      ""resolved"": ""https://registry.npmjs.org/@esbuild/freebsd-x64/-/freebsd-x64-0.25.11.tgz"","
frontend/package-lock.json,526,"      ""resolved"": ""https://registry.npmjs.org/@esbuild/linux-arm/-/linux-arm-0.25.11.tgz"","
frontend/package-lock.json,543,"      ""resolved"": ""https://registry.npmjs.org/@esbuild/linux-arm64/-/linux-arm64-0.25.11.tgz"","
frontend/package-lock.json,560,"      ""resolved"": ""https://registry.npmjs.org/@esbuild/linux-ia32/-/linux-ia32-0.25.11.tgz"","
frontend/package-lock.json,577,"      ""resolved"": ""https://registry.npmjs.org/@esbuild/linux-loong64/-/linux-loong64-0.25.11.tgz"","
frontend/package-lock.json,594,"      ""resolved"": ""https://registry.npmjs.org/@esbuild/linux-mips64el/-/linux-mips64el-0.25.11.tgz"","
frontend/package-lock.json,611,"      ""resolved"": ""https://registry.npmjs.org/@esbuild/linux-ppc64/-/linux-ppc64-0.25.11.tgz"","
frontend/package-lock.json,628,"      ""resolved"": ""https://registry.npmjs.org/@esbuild/linux-riscv64/-/linux-riscv64-0.25.11.tgz"","
frontend/package-lock.json,645,"      ""resolved"": ""https://registry.npmjs.org/@esbuild/linux-s390x/-/linux-s390x-0.25.11.tgz"","
frontend/package-lock.json,662,"      ""resolved"": ""https://registry.npmjs.org/@esbuild/linux-x64/-/linux-x64-0.25.11.tgz"","
frontend/package-lock.json,679,"      ""resolved"": ""https://registry.npmjs.org/@esbuild/netbsd-arm64/-/netbsd-arm64-0.25.11.tgz"","
frontend/package-lock.json,696,"      ""resolved"": ""https://registry.npmjs.org/@esbuild/netbsd-x64/-/netbsd-x64-0.25.11.tgz"","
frontend/package-lock.json,713,"      ""resolved"": ""https://registry.npmjs.org/@esbuild/openbsd-arm64/-/openbsd-arm64-0.25.11.tgz"","
frontend/package-lock.json,730,"      ""resolved"": ""https://registry.npmjs.org/@esbuild/openbsd-x64/-/openbsd-x64-0.25.11.tgz"","
frontend/package-lock.json,747,"      ""resolved"": ""https://registry.npmjs.org/@esbuild/openharmony-arm64/-/openharmony-arm64-0.25.11.tgz"","
frontend/package-lock.json,764,"      ""resolved"": ""https://registry.npmjs.org/@esbuild/sunos-x64/-/sunos-x64-0.25.11.tgz"","
frontend/package-lock.json,781,"      ""resolved"": ""https://registry.npmjs.org/@esbuild/win32-arm64/-/win32-arm64-0.25.11.tgz"","
frontend/package-lock.json,798,"      ""resolved"": ""https://registry.npmjs.org/@esbuild/win32-ia32/-/win32-ia32-0.25.11.tgz"","
frontend/package-lock.json,815,"      ""resolved"": ""https://registry.npmjs.org/@esbuild/win32-x64/-/win32-x64-0.25.11.tgz"","
frontend/package-lock.json,832,"      ""resolved"": ""https://registry.npmjs.org/@eslint-community/eslint-utils/-/eslint-utils-4.9.0.tgz"","
frontend/package-lock.json,843,"        ""url"": ""https://opencollective.com/eslint"""
frontend/package-lock.json,851,"      ""resolved"": ""https://registry.npmjs.org/eslint-visitor-keys/-/eslint-visitor-keys-3.4.3.tgz"","
frontend/package-lock.json,859,"        ""url"": ""https://opencollective.com/eslint"""
frontend/package-lock.json,864,"      ""resolved"": ""https://registry.npmjs.org/@eslint-community/regexpp/-/regexpp-4.12.1.tgz"","
frontend/package-lock.json,874,"      ""resolved"": ""https://registry.npmjs.org/@eslint/config-array/-/config-array-0.21.0.tgz"","
frontend/package-lock.json,889,"      ""resolved"": ""https://registry.npmjs.org/@eslint/config-helpers/-/config-helpers-0.4.0.tgz"","
frontend/package-lock.json,902,"      ""resolved"": ""https://registry.npmjs.org/@eslint/core/-/core-0.16.0.tgz"","
frontend/package-lock.json,915,"      ""resolved"": ""https://registry.npmjs.org/@eslint/eslintrc/-/eslintrc-3.3.1.tgz"","
frontend/package-lock.json,934,"        ""url"": ""https://opencollective.com/eslint"""
frontend/package-lock.json,939,"      ""resolved"": ""https://registry.npmjs.org/globals/-/globals-14.0.0.tgz"","
frontend/package-lock.json,947,"        ""url"": ""https://github.com/sponsors/sindresorhus"""
frontend/package-lock.json,952,"      ""resolved"": ""https://registry.npmjs.org/@eslint/js/-/js-9.37.0.tgz"","
frontend/package-lock.json,960,"        ""url"": ""https://eslint.org/donate"""
frontend/package-lock.json,965,"      ""resolved"": ""https://registry.npmjs.org/@eslint/object-schema/-/object-schema-2.1.6.tgz"","
frontend/package-lock.json,975,"      ""resolved"": ""https://registry.npmjs.org/@eslint/plugin-kit/-/plugin-kit-0.4.0.tgz"","
frontend/package-lock.json,989,"      ""resolved"": ""https://registry.npmjs.org/@floating-ui/core/-/core-1.7.3.tgz"","
frontend/package-lock.json,998,"      ""resolved"": ""https://registry.npmjs.org/@floating-ui/dom/-/dom-1.7.4.tgz"","
frontend/package-lock.json,1008,"      ""resolved"": ""https://registry.npmjs.org/@floating-ui/react-dom/-/react-dom-2.1.6.tgz"","
frontend/package-lock.json,1021,"      ""resolved"": ""https://registry.npmjs.org/@floating-ui/utils/-/utils-0.2.10.tgz"","
frontend/package-lock.json,1027,"      ""resolved"": ""https://registry.npmjs.org/@hookform/resolvers/-/resolvers-5.2.2.tgz"","
frontend/package-lock.json,1039,"      ""resolved"": ""https://registry.npmjs.org/@humanfs/core/-/core-0.19.1.tgz"","
frontend/package-lock.json,1049,"      ""resolved"": ""https://registry.npmjs.org/@humanfs/node/-/node-0.16.7.tgz"","
